trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
407,False,"{'a': 0.5, 'e': 0.6496435692217232}",25,11,-10.371400147111627,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.648028830589016}",30,0,-61.40552401375422,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
409,False,"{'a': 0.5, 'e': 0.6464111737774862}",25,0,-108.26585161682203,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
410,False,"{'a': 0.5, 'e': 0.6447906060717045}",25,16,-6.590470799879231,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.6431671347693497}",20,0,-32.06465122806632,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
412,False,"{'a': 0.5, 'e': 0.6415407671811763}",20,0,-81.4702095022232,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
413,False,"{'a': 0.5, 'e': 0.639911510630981}",25,5,14.407919802128708,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
414,False,"{'a': 0.5, 'e': 0.63827937245557}",30,12,-58.83389971417756,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
415,False,"{'a': 0.5, 'e': 0.6366443600047259}",20,0,-54.31778772344282,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
416,False,"{'a': 0.5, 'e': 0.6350064806411748}",20,0,-7.227958247341281,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
417,False,"{'a': 0.5, 'e': 0.6333657417405528}",35,17,-46.0676315671412,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
418,False,"{'a': 0.5, 'e': 0.6317221506913732}",20,0,-35.53746400243321,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
419,False,"{'a': 0.5, 'e': 0.6300757148949925}",30,0,-52.74568803992407,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
420,False,"{'a': 0.5, 'e': 0.628426441765578}",30,0,-58.73738811774188,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
421,False,"{'a': 0.5, 'e': 0.6267743387300739}",20,0,-120.42171534038137,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",1
422,False,"{'a': 0.5, 'e': 0.6251194132281678}",20,10,-25.338490675248156,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.6234616727122572}",30,13,-65.22232765259179,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
424,False,"{'a': 0.5, 'e': 0.6218011246474165}",30,0,-21.53043815670048,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
425,False,"{'a': 0.5, 'e': 0.6201377765113626}",35,18,-0.0755167352241779,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': 0.6184716357944217}",25,0,-88.84478506883923,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
427,False,"{'a': 0.5, 'e': 0.6168027099994953}",30,4,-47.79305427329851,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 0}",1
428,False,"{'a': 0.5, 'e': 0.6151310066420267}",20,7,-2.8472076625760856,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
429,False,"{'a': 0.5, 'e': 0.613456533249967}",20,5,-82.19340753949231,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
430,False,"{'a': 0.5, 'e': 0.6117792973637413}",35,9,-232.8836946864087,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 5}",1
431,False,"{'a': 0.5, 'e': 0.6100993065362144}",20,0,-82.00420045744022,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
432,False,"{'a': 0.5, 'e': 0.6084165683326572}",20,0,-66.75442000670401,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
433,False,"{'a': 0.5, 'e': 0.6067310903307127}",20,0,-47.386067716091766,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
434,False,"{'a': 0.5, 'e': 0.6050428801203611}",25,0,7.568769702533785,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
435,False,"{'a': 0.5, 'e': 0.6033519453038869}",20,15,2.636913953401309,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.6016582934958432}",20,0,-28.87512153069124,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
437,False,"{'a': 0.5, 'e': 0.5999619323230188}",20,14,10.082153785719637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.5982628694244025}",20,0,15.269080771157451,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
439,False,"{'a': 0.5, 'e': 0.5965611124511504}",25,15,-51.388018310910866,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
440,False,"{'a': 0.5, 'e': 0.5948566690665494}",20,12,-16.113139967393188,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.5931495469459845}",35,23,9.446878128413873,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': 0.5914397537769032}",20,0,-6.148961088086033,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
443,False,"{'a': 0.5, 'e': 0.589727297258781}",30,13,-27.941747528384262,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
444,False,"{'a': 0.5, 'e': 0.5880121851030872}",25,0,13.097627028375479,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
445,False,"{'a': 0.5, 'e': 0.5862944250332497}",20,3,3.2352222390498504,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.5845740247846204}",25,15,-3.1611179241700267,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
447,False,"{'a': 0.5, 'e': 0.5828509921044405}",30,0,-14.227725869566203,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
448,False,"{'a': 0.5, 'e': 0.5811253347518051}",20,0,2.788901104036128,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
449,False,"{'a': 0.5, 'e': 0.5793970604976288}",20,0,-96.56852360331328,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
450,False,"{'a': 0.5, 'e': 0.5776661771246111}",20,0,-234.4669611976362,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 5}",0
451,False,"{'a': 0.5, 'e': 0.5759326924271998}",30,6,-33.20822319981901,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
452,False,"{'a': 0.5, 'e': 0.5741966142115577}",20,0,-39.27645583289197,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
453,False,"{'a': 0.5, 'e': 0.5724579502955259}",30,7,-45.08230953016744,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
454,False,"{'a': 0.5, 'e': 0.5707167085085901}",20,3,-48.58117501813082,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
455,False,"{'a': 0.5, 'e': 0.568972896691844}",35,11,-47.990619756171,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 0}",1
456,False,"{'a': 0.5, 'e': 0.5672265226979549}",20,0,-71.92813453579019,"{0: 14, 1: 2, 2: 0, 3: 4, 4: 0}",0
457,False,"{'a': 0.5, 'e': 0.5654775943911277}",35,14,-91.43272445212946,"{0: 13, 1: 1, 2: 4, 3: 3, 4: 0}",1
458,False,"{'a': 0.5, 'e': 0.56372611964707}",20,13,-10.019981979058585,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': 0.5619721063529562}",25,0,-56.98869177234776,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
460,False,"{'a': 0.5, 'e': 0.5602155624073928}",30,0,-64.07910381130813,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
461,False,"{'a': 0.5, 'e': 0.5584564957203814}",30,12,16.53844842084436,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
462,False,"{'a': 0.5, 'e': 0.5566949142132844}",25,0,-138.23306399891203,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
463,False,"{'a': 0.5, 'e': 0.5549308258187887}",20,0,-4.461509690020726,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
464,False,"{'a': 0.5, 'e': 0.5531642384808704}",25,3,-143.9501280623855,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 3}",1
465,False,"{'a': 0.5, 'e': 0.5513951601547583}",35,14,-41.96924337455364,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
466,False,"{'a': 0.5, 'e': 0.5496235988068987}",25,0,-52.42440055290372,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
467,False,"{'a': 0.5, 'e': 0.5478495624149197}",30,17,15.967500796449876,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.5, 'e': 0.5460730589675943}",30,9,-107.91649898030512,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 3}",1
469,False,"{'a': 0.5, 'e': 0.5442940964648055}",20,7,-44.62582519635232,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
470,False,"{'a': 0.5, 'e': 0.5425126829175096}",20,10,-46.62076661799687,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
471,False,"{'a': 0.5, 'e': 0.5407288263477007}",20,0,-94.22236890353669,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
472,False,"{'a': 0.5, 'e': 0.5389425347883737}",20,11,-2.782463545125516,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.5, 'e': 0.5371538162834889}",25,0,-21.618176355446664,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
474,False,"{'a': 0.5, 'e': 0.5353626788879358}",25,0,-9.619750511766776,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
475,False,"{'a': 0.5, 'e': 0.533569130667496}",30,0,-58.638152733869084,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
476,False,"{'a': 0.5, 'e': 0.5317731796988081}",20,10,-16.30210184193509,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
477,False,"{'a': 0.5, 'e': 0.5299748340693299}",20,0,-93.08562840187284,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
478,False,"{'a': 0.5, 'e': 0.5281741018773034}",20,0,-4.647957094742699,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
479,False,"{'a': 0.5, 'e': 0.5263709912317174}",30,0,-33.04247475155801,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
480,False,"{'a': 0.5, 'e': 0.5245655102522713}",30,0,-97.69785124605413,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
481,False,"{'a': 0.5, 'e': 0.5227576670693386}",20,0,-16.823899828903567,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
482,False,"{'a': 0.5, 'e': 0.5209474698239297}",20,0,-19.4916626668905,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
483,False,"{'a': 0.5, 'e': 0.5191349266676564}",25,0,-71.98037466617893,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
484,False,"{'a': 0.5, 'e': 0.5173200457626941}",25,0,-132.90065025698485,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",1
485,False,"{'a': 0.5, 'e': 0.5155028352817459}",20,0,-30.420341361296828,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
486,False,"{'a': 0.5, 'e': 0.5136833034080045}",25,3,-86.64888321949745,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
487,False,"{'a': 0.5, 'e': 0.511861458335117}",25,13,-18.133765684617057,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
488,False,"{'a': 0.5, 'e': 0.5100373082671469}",20,7,8.090885121752368,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
489,False,"{'a': 0.5, 'e': 0.5082108614185379}",25,10,-55.89535056572615,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
490,False,"{'a': 0.5, 'e': 0.5063821260140755}",20,0,-4.822339948305812,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
491,False,"{'a': 0.5, 'e': 0.5045511102888518}",25,2,-129.4095420918682,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 2}",1
492,False,"{'a': 0.5, 'e': 0.5027178224882273}",20,9,-15.807352590481342,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.5, 'e': 0.5008822708677941}",20,10,6.9941932333172385,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
494,False,"{'a': 0.5, 'e': 0.4990444636933383}",20,13,-1.8331721082675463,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
495,False,"{'a': 0.5, 'e': 0.49720440924080356}",25,14,-22.248309219891148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
496,False,"{'a': 0.5, 'e': 0.49536211579625317}",20,0,-44.78791182594068,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
497,False,"{'a': 0.5, 'e': 0.49351759165583303}",20,0,-101.10979607580913,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
498,False,"{'a': 0.5, 'e': 0.4916708451257344}",25,6,8.194117769748551,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
499,False,"{'a': 0.5, 'e': 0.48982188452215575}",25,0,-100.5408871238787,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
500,False,"{'a': 0.5, 'e': 0.48797071817126647}",20,16,6.528630091307739,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.5, 'e': 0.48611735440916853}",25,8,-26.888924698152024,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
